especie,humedad_min,humedad_max,luz_min,luz_max,temp_min,temp_max
sansevieria,20,45,200,1500,15,29
potos,40,70,300,1200,18,30
suculenta,10,30,800,2500,15,32
helecho,60,85,150,800,16,26
lavanda,25,50,1000,3000,15,30
aglaonema,40,60,1000,4400,18,27
dracaena,40,60,1000,4400,18,27
dieffenbachia,50,60,1000,4400,18,27
ficus_lyrata,40,60,4300,17200,18,27
monstera_deliciosa,50,70,1000,4400,18,27
spathiphyllum,50,60,1000,4400,18,27
philodendron,40,60,1000,4400,18,27
schefflera,40,60,1000,4400,18,27
chlorophytum,40,50,2100,8600,15,27
zamioculcas,30,50,1000,4400,18,27
calathea,60,80,2100,8600,18,26
hoya,40,60,1000,4400,18,27
